subject,video,type,type_idx,startFrame,endFrame,frame_num,length
6,./SAMM_longvideos/006,Macro,1,566,743,30299,176
6,./SAMM_longvideos/006,Macro,1,8607,8728,30299,121
6,./SAMM_longvideos/006,Macro,1,9074,9562,30299,488
6,./SAMM_longvideos/006,Macro,1,10407,11010,30299,603
6,./SAMM_longvideos/006,Macro,1,11869,12303,30299,434
6,./SAMM_longvideos/006,Macro,1,13429,14053,30299,624
6,./SAMM_longvideos/006,Macro,1,14152,14560,30299,408
6,./SAMM_longvideos/006,Macro,1,14766,16306,30299,1539
6,./SAMM_longvideos/006,Macro,1,16375,18887,30299,2512
6,./SAMM_longvideos/006,Macro,1,18852,19028,30299,176
6,./SAMM_longvideos/006,Macro,1,19133,19357,30299,223
6,./SAMM_longvideos/006,Macro,1,19553,19850,30299,296
6,./SAMM_longvideos/006,Macro,1,20192,20581,30299,388
6,./SAMM_longvideos/006,Macro,1,20833,21177,30299,344
6,./SAMM_longvideos/006,Macro,1,21444,21753,30299,308
6,./SAMM_longvideos/006,Macro,1,22785,22905,30299,120
6,./SAMM_longvideos/006,Macro,1,23715,23881,30299,166
6,./SAMM_longvideos/006,Macro,1,24995,25230,30299,235
6,./SAMM_longvideos/006,Macro,1,25019,25523,30299,504
6,./SAMM_longvideos/006,Macro,1,26183,26631,30299,447
6,./SAMM_longvideos/006,Macro,1,28412,29085,30299,672
6,./SAMM_longvideos/006,Macro,1,29693,29930,30299,237
6,./SAMM_longvideos/006,Macro,1,30044,30207,30299,163
6,./SAMM_longvideos/006,Micro,2,324,403,30299,79
6,./SAMM_longvideos/006,Micro,2,1912,1988,30299,76
6,./SAMM_longvideos/006,Micro,2,3343,3424,30299,81
6,./SAMM_longvideos/006,Micro,2,3562,3632,30299,70
6,./SAMM_longvideos/006,Micro,2,5160,5259,30299,99
6,./SAMM_longvideos/006,Micro,2,8828,8922,30299,94
6,./SAMM_longvideos/006,Micro,2,11287,11350,30299,63
6,./SAMM_longvideos/006,Micro,2,12435,12504,30299,69
6,./SAMM_longvideos/006,Micro,2,20584,20662,30299,78
6,./SAMM_longvideos/006,Micro,2,21278,21374,30299,96
6,./SAMM_longvideos/006,Micro,2,24406,24499,30299,93
7,./SAMM_longvideos/007,Macro,1,3851,4660,15200,808
7,./SAMM_longvideos/007,Macro,1,6197,6467,15200,269
7,./SAMM_longvideos/007,Macro,1,8295,8743,15200,448
7,./SAMM_longvideos/007,Macro,1,9223,9535,15200,311
7,./SAMM_longvideos/007,Macro,1,14456,14984,15200,528
7,./SAMM_longvideos/007,Micro,2,246,291,15200,45
7,./SAMM_longvideos/007,Micro,2,800,899,15200,99
7,./SAMM_longvideos/007,Micro,2,1459,1535,15200,76
7,./SAMM_longvideos/007,Micro,2,4133,4232,15200,99
7,./SAMM_longvideos/007,Micro,2,5397,5441,15200,44
7,./SAMM_longvideos/007,Micro,2,5549,5623,15200,74
7,./SAMM_longvideos/007,Micro,2,6196,6277,15200,81
7,./SAMM_longvideos/007,Micro,2,7460,7517,15200,57
7,./SAMM_longvideos/007,Micro,2,7954,8037,15200,83
7,./SAMM_longvideos/007,Micro,2,14430,14470,15200,40
8,./SAMM_longvideos/008,Macro,1,301,669,8891,367
8,./SAMM_longvideos/008,Macro,1,1642,1814,8891,171
8,./SAMM_longvideos/008,Macro,1,2804,2940,8891,136
8,./SAMM_longvideos/008,Macro,1,4095,4468,8891,372
8,./SAMM_longvideos/008,Macro,1,8436,8672,8891,236
9,./SAMM_longvideos/009,Macro,1,1414,1541,6696,127
9,./SAMM_longvideos/009,Macro,1,2493,2605,6696,112
9,./SAMM_longvideos/009,Macro,1,3442,3723,6696,280
9,./SAMM_longvideos/009,Macro,1,4683,4985,6696,301
9,./SAMM_longvideos/009,Macro,1,5582,5715,6696,133
9,./SAMM_longvideos/009,Macro,1,5980,6153,6696,172
9,./SAMM_longvideos/009,Micro,2,577,641,6696,64
9,./SAMM_longvideos/009,Micro,2,2356,2432,6696,76
9,./SAMM_longvideos/009,Micro,2,2468,2545,6696,77
9,./SAMM_longvideos/009,Micro,2,3834,3919,6696,85
10,./SAMM_longvideos/010,Macro,1,89,209,19273,120
10,./SAMM_longvideos/010,Macro,1,837,1135,19273,297
10,./SAMM_longvideos/010,Macro,1,2002,2181,19273,178
10,./SAMM_longvideos/010,Macro,1,2644,2760,19273,116
10,./SAMM_longvideos/010,Macro,1,2938,3228,19273,289
10,./SAMM_longvideos/010,Macro,1,3671,3783,19273,112
10,./SAMM_longvideos/010,Macro,1,4659,5028,19273,369
10,./SAMM_longvideos/010,Macro,1,5509,5687,19273,178
10,./SAMM_longvideos/010,Macro,1,5700,5910,19273,210
10,./SAMM_longvideos/010,Macro,1,5911,6152,19273,241
10,./SAMM_longvideos/010,Macro,1,6946,7638,19273,692
10,./SAMM_longvideos/010,Macro,1,7520,7633,19273,113
10,./SAMM_longvideos/010,Macro,1,8153,8578,19273,425
10,./SAMM_longvideos/010,Macro,1,9931,10087,19273,156
10,./SAMM_longvideos/010,Macro,1,11226,11405,19273,179
10,./SAMM_longvideos/010,Macro,1,14890,15861,19273,971
10,./SAMM_longvideos/010,Macro,1,16649,17096,19273,447
10,./SAMM_longvideos/010,Macro,1,18086,18272,19273,186
10,./SAMM_longvideos/010,Macro,1,18399,18898,19273,499
10,./SAMM_longvideos/010,Micro,2,1458,1494,19273,36
10,./SAMM_longvideos/010,Micro,2,2477,2554,19273,77
10,./SAMM_longvideos/010,Micro,2,10753,10782,19273,29
10,./SAMM_longvideos/010,Micro,2,13933,13963,19273,30
11,./SAMM_longvideos/011,Macro,1,31,306,43752,275
11,./SAMM_longvideos/011,Macro,1,4024,4346,43752,322
11,./SAMM_longvideos/011,Macro,1,5736,5914,43752,177
11,./SAMM_longvideos/011,Macro,1,6202,8965,43752,2763
11,./SAMM_longvideos/011,Macro,1,9930,10044,43752,114
11,./SAMM_longvideos/011,Macro,1,10435,10566,43752,131
11,./SAMM_longvideos/011,Macro,1,11769,11889,43752,120
11,./SAMM_longvideos/011,Macro,1,11847,12002,43752,155
11,./SAMM_longvideos/011,Macro,1,12388,12714,43752,326
11,./SAMM_longvideos/011,Macro,1,12777,12999,43752,222
11,./SAMM_longvideos/011,Macro,1,13027,13458,43752,431
11,./SAMM_longvideos/011,Macro,1,13517,13728,43752,211
11,./SAMM_longvideos/011,Macro,1,14353,14544,43752,190
11,./SAMM_longvideos/011,Macro,1,14616,14784,43752,167
11,./SAMM_longvideos/011,Macro,1,15191,15389,43752,198
11,./SAMM_longvideos/011,Macro,1,15406,15543,43752,137
11,./SAMM_longvideos/011,Macro,1,15683,15790,43752,107
11,./SAMM_longvideos/011,Macro,1,17584,17755,43752,170
11,./SAMM_longvideos/011,Macro,1,19391,19535,43752,143
11,./SAMM_longvideos/011,Macro,1,19896,20337,43752,441
11,./SAMM_longvideos/011,Macro,1,20549,20743,43752,194
11,./SAMM_longvideos/011,Macro,1,20735,20837,43752,102
11,./SAMM_longvideos/011,Macro,1,21493,21665,43752,172
11,./SAMM_longvideos/011,Macro,1,22166,22302,43752,136
