006, 324, 403, _, _, FN
006, 566, 743, 535, 670, TP
006, 1912, 1988, 1875, 1995, FP
006, 1912, 1988, 1880, 1990, TP
006, 3343, 3424, _, _, FN
006, 3562, 3632, _, _, FN
006, 5160, 5259, 5125, 5255, FP
006, 5160, 5259, 5145, 5235, TP
006, 8607, 8728, 8500, 8670, FP
006, 8828, 8922, _, _, FN
006, 9074, 9562, 9090, 9250, FP
006, 9074, 9562, 9205, 9460, TP
006, 10407, 11010, 10555, 10950, TP
006, 11287, 11350, 11270, 11335, TP
006, 11869, 12303, _, _, FN
006, 12435, 12504, 12405, 12570, FP
006, 13429, 14053, 13445, 13600, FP
006, 14152, 14560, _, _, FN
006, 14766, 16306, 14800, 14930, FP
006, 14766, 16306, 14805, 14940, FP
006, 14766, 16306, 16300, 16550, FP
006, 16375, 18887, _, _, FN
006, 18852, 19028, _, _, FN
006, 19133, 19357, 19065, 19280, TP
006, 19553, 19850, _, _, FN
006, _, _, 19955, 20040, FP
006, 20192, 20581, 20300, 20490, FP
006, 20584, 20662, _, _, FN
006, 20833, 21177, 20735, 20880, FP
006, 20833, 21177, 20755, 20850, FP
006, 21278, 21374, 21250, 21575, FP
006, 21444, 21753, _, _, FN
006, 22785, 22905, _, _, FN
006, 23715, 23881, _, _, FN
006, 24406, 24499, _, _, FN
006, 24995, 25230, 24970, 25125, TP
006, 24995, 25230, 25120, 25590, FP
006, 25019, 25523, _, _, FN
006, 26183, 26631, 26155, 26590, TP
006, 28412, 29085, 28550, 28950, TP
006, 29693, 29930, 29690, 29875, TP
006, 29693, 29930, 29925, 30190, FP
006, _, _, 29690, 29875, FP
006, 30044, 30207, 29925, 30190, TP
007, 246, 291, _, _, FN
007, 800, 899, _, _, FN
007, 1459, 1535, _, _, FN
007, 3851, 4660, _, _, FN
007, 4133, 4232, _, _, FN
007, 5397, 5441, _, _, FN
007, 5549, 5623, _, _, FN
007, 6196, 6277, _, _, FN
007, 6197, 6467, _, _, FN
007, _, _, 6655, 6790, FP
007, 7460, 7517, _, _, FN
007, 7954, 8037, _, _, FN
007, 8295, 8743, 8265, 8750, TP
007, 9223, 9535, 9480, 10005, FP
007, _, _, 11825, 12365, FP
007, 14430, 14470, 14375, 14985, FP
007, 14456, 14984, 14375, 14985, TP
008, 301, 669, _, _, FN
008, 1642, 1814, _, _, FN
008, _, _, 2260, 2690, FP
008, 2804, 2940, _, _, FN
008, 4095, 4468, _, _, FN
008, 8436, 8672, 8395, 8755, TP
009, 577, 641, _, _, FN
009, 1414, 1541, 1410, 1615, TP
009, _, _, 1580, 1770, FP
009, 2356, 2432, _, _, FN
009, 2468, 2545, _, _, FN
009, 2493, 2605, _, _, FN
009, 3442, 3723, _, _, FN
009, 3834, 3919, _, _, FN
009, 4683, 4985, 4710, 4910, TP
009, 4683, 4985, 4755, 4815, FP
009, _, _, 4710, 4910, FP
009, _, _, 4755, 4815, FP
009, 5582, 5715, _, _, FN
009, 5980, 6153, _, _, FN
010, 89, 209, _, _, FN
010, 837, 1135, 775, 1225, TP
010, 1458, 1494, 1370, 1535, FP
010, 2002, 2181, _, _, FN
010, 2477, 2554, _, _, FN
010, 2644, 2760, _, _, FN
010, 2938, 3228, 2835, 3520, FP
010, 3671, 3783, _, _, FN
010, 4659, 5028, 3810, 4750, FP
010, 5509, 5687, 5505, 6305, FP
010, 5700, 5910, _, _, FN
010, 5911, 6152, _, _, FN
010, 6946, 7638, 7235, 7765, FP
010, 7520, 7633, _, _, FN
010, 8153, 8578, 7930, 8505, TP
010, 9931, 10087, 9565, 10355, FP
010, 10753, 10782, _, _, FN
010, 11226, 11405, _, _, FN
010, 13933, 13963, _, _, FN
010, 14890, 15861, _, _, FN
010, 16649, 17096, _, _, FN
010, 18086, 18272, 17950, 18300, TP
010, 18399, 18898, _, _, FN
011, 31, 306, _, _, FN
011, 3080, 3168, 3035, 3180, FP
011, 3080, 3168, 3070, 3165, TP
011, 4024, 4346, 4160, 4395, TP
011, 5736, 5914, 5620, 5930, TP
011, 6202, 8965, 6525, 7215, FP
011, 6202, 8965, 7085, 7775, FP
011, 6202, 8965, 8530, 9010, FP
011, 8230, 8269, _, _, FN
011, 8270, 8326, _, _, FN
011, 9562, 9650, _, _, FN
011, 9930, 10044, 9945, 10235, FP
011, 10086, 10175, _, _, FN
011, 10435, 10566, _, _, FN
011, 11296, 11344, _, _, FN
011, 11769, 11889, _, _, FN
011, 11774, 11853, _, _, FN
011, 11847, 12002, _, _, FN
011, 11877, 11964, _, _, FN
011, 12141, 12241, _, _, FN
011, 12388, 12714, 12320, 12540, FP
011, 12388, 12714, 12415, 12510, FP
011, 12777, 12999, _, _, FN
011, 13027, 13458, 13035, 13335, TP
011, 13027, 13458, 13215, 13640, FP
011, 13517, 13728, _, _, FN
011, 14353, 14544, _, _, FN
011, 14616, 14784, _, _, FN
011, 15191, 15389, _, _, FN
011, 15406, 15543, _, _, FN
011, 15469, 15567, _, _, FN
011, 15683, 15790, _, _, FN
011, 15694, 15751, _, _, FN
011, 16872, 16968, _, _, FN
011, 17584, 17755, _, _, FN
011, _, _, 18180, 18385, FP
011, 19391, 19535, _, _, FN
011, 19464, 19517, _, _, FN
011, 19896, 20337, 19880, 20170, TP
011, 20549, 20743, 20445, 20605, FP
011, 20549, 20743, 20465, 20570, FP
011, 20735, 20837, _, _, FN
011, 20763, 20803, _, _, FN
011, 21493, 21665, 21540, 21755, FP
011, 22166, 22302, _, _, FN
011, 23382, 23533, _, _, FN
011, 23764, 23945, 23770, 23895, TP
011, 23764, 23945, 23775, 23860, FP
011, 24176, 24361, _, _, FN
011, 26455, 26581, _, _, FN
011, 26577, 26904, 26715, 26865, FP
011, 28375, 28576, _, _, FN
011, 29216, 32072, 29375, 29795, FP
011, 29216, 32072, 30165, 30345, FP
011, 29216, 32072, 30325, 31115, FP
011, 29216, 32072, 31920, 32225, FP
011, 29216, 33339, 32075, 35245, FP
011, 29216, 33339, 32880, 33460, FP
011, 29395, 29659, _, _, FN
011, 29772, 30033, _, _, FN
011, 30183, 31266, _, _, FN
011, 31720, 31818, _, _, FN
011, 31823, 31896, _, _, FN
011, 31900, 32043, _, _, FN
011, 32073, 33204, _, _, FN
011, 33387, 33555, _, _, FN
011, 33638, 33702, _, _, FN
011, 33739, 33835, _, _, FN
011, 33987, 34936, 33985, 34450, FP
011, 33987, 34936, 34420, 34980, TP
011, 35288, 35438, _, _, FN
011, 35513, 36116, 35665, 36080, TP
011, 36141, 36250, _, _, FN
011, 36157, 36206, _, _, FN
011, 37778, 38070, 37745, 38095, TP
011, 38522, 38642, _, _, FN
011, 38536, 38617, _, _, FN
011, 39057, 39285, _, _, FN
011, 39289, 39494, _, _, FN
011, 40508, 40753, _, _, FN
011, 40839, 41190, _, _, FN
011, 42872, 43342, 42955, 43350, TP
012, 0, 5052, 4660, 4910, FP
012, 4621, 4676, _, _, FN
012, 4697, 4796, _, _, FN
012, 5030, 5475, 5160, 5575, TP
012, 6093, 6276, _, _, FN
012, 6715, 6830, 6730, 6890, TP
012, 9363, 9543, _, _, FN
012, 10559, 10755, 10540, 10810, TP
012, 10819, 10990, _, _, FN
012, 12026, 12078, _, _, FN
012, 12107, 12336, 12115, 12370, TP
013, 677, 833, 710, 870, TP
013, 706, 802, _, _, FN
013, 841, 919, _, _, FN
013, 3699, 3903, _, _, FN
013, 3802, 3890, _, _, FN
013, 4490, 4582, _, _, FN
013, 5658, 5739, _, _, FN
013, 7183, 7364, _, _, FN
013, 7262, 7372, _, _, FN
013, 8445, 8603, _, _, FN
013, 10178, 10348, _, _, FN
013, 11526, 11665, _, _, FN
013, 12283, 12587, _, _, FN
013, 13114, 13313, 13145, 13305, TP
013, 13114, 13313, 13165, 13255, FP
013, 14719, 14871, _, _, FN
013, 14967, 15057, _, _, FN
013, 16144, 16298, _, _, FN
013, 16931, 17162, _, _, FN
013, 20423, 20720, 20395, 20695, TP
013, 21105, 21460, 21080, 21250, FP
014, 600, 941, 605, 780, TP
014, 667, 753, _, _, FN
014, 1501, 1699, _, _, FN
014, 2357, 2398, _, _, FN
014, 3754, 4272, 4045, 4175, FP
014, 5387, 5592, 5340, 5520, TP
014, 6875, 6969, _, _, FN
014, 7617, 7706, 7705, 7845, FP
014, _, _, 8075, 8295, FP
014, 8372, 8526, 8310, 8595, TP
014, 8387, 8484, _, _, FN
014, _, _, 8850, 9000, FP
014, 9596, 9675, 9535, 9690, FP
014, 9887, 10028, 9850, 10070, TP
014, 9926, 10033, _, _, FN
014, 10814, 11019, _, _, FN
014, 11974, 12207, _, _, FN
014, 13372, 13565, 13415, 13545, TP
014, 14372, 14540, _, _, FN
014, 14396, 14484, _, _, FN
014, _, _, 14560, 14635, FP
014, _, _, 14565, 14680, FP
014, 15736, 15849, 15680, 15845, TP
014, 16556, 16624, _, _, FN
014, 17598, 17703, _, _, FN
014, 17618, 17681, _, _, FN
014, 17744, 17778, _, _, FN
014, 18520, 18639, 18425, 18675, FP
014, 18520, 18639, 18600, 18800, FP
014, 21070, 21342, 21085, 21330, TP
014, 21784, 21926, 21700, 21895, FP
014, 21784, 21926, 21845, 22085, FP
014, _, _, 22180, 22335, FP
014, 23670, 24134, _, _, FN
014, 24358, 24782, _, _, FN
014, 24872, 24941, 24800, 25015, FP
014, 26067, 26337, 26105, 26240, TP
014, 28037, 28458, _, _, FN
015, 23, 168, _, _, FN
015, 297, 595, _, _, FN
015, 4853, 5168, 4835, 4990, FP
015, 5707, 5809, 5745, 5965, FP
015, 5846, 6208, 5885, 6240, TP
015, 6633, 6825, _, _, FN
015, 6758, 6835, _, _, FN
015, 7084, 7187, _, _, FN
015, 7088, 7150, _, _, FN
015, 7259, 7410, _, _, FN
015, 7295, 7367, _, _, FN
015, 8547, 8757, _, _, FN
015, 8738, 9115, _, _, FN
015, 10646, 10985, _, _, FN
015, 12769, 13152, _, _, FN
015, 13795, 14098, _, _, FN
015, 14242, 14611, 14210, 14580, TP
015, 14612, 14975, _, _, FN
016, 501, 742, _, _, FN
016, 2525, 2861, _, _, FN
016, 3783, 4060, _, _, FN
016, 5191, 5515, _, _, FN
016, 6040, 6185, _, _, FN
016, 7351, 9146, _, _, FN
016, 9377, 9636, 9460, 9610, TP
016, 9842, 10288, 9845, 9980, FP
016, 9842, 10288, 9865, 9970, FP
016, 11000, 11048, 10925, 11060, FP
016, 12218, 12410, 12205, 12400, TP
016, 12218, 12410, 12240, 12355, FP
016, 12524, 12633, _, _, FN
016, 12565, 12617, _, _, FN
016, 13016, 13189, 13045, 13280, TP
016, 13016, 13189, 13075, 13170, FP
016, 13120, 13172, 13045, 13280, FP
016, 13120, 13172, 13075, 13170, TP
016, _, _, 13045, 13280, FP
016, _, _, 13075, 13170, FP
016, 14845, 14932, _, _, FN
016, 20981, 21074, _, _, FN
017, 651, 1050, _, _, FN
017, 1959, 2092, 1935, 2190, TP
017, 2584, 2666, 2535, 2720, FP
017, 2584, 2666, 2650, 2915, FP
017, 2675, 2765, _, _, FN
017, 2813, 2888, _, _, FN
017, 2816, 2934, _, _, FN
017, 3894, 3993, _, _, FN
017, 4710, 4944, 4720, 4790, FP
017, 4710, 4944, 4725, 4785, FP
017, 4710, 4944, 4745, 5000, TP
017, 6029, 6511, 6255, 6945, FP
017, 7419, 7511, _, _, FN
017, 7610, 7681, _, _, FN
017, 8603, 8895, _, _, FN
018, 521, 607, _, _, FN
018, 901, 1471, 905, 1275, TP
018, 2623, 2816, 2500, 2905, FP
018, 3400, 5963, 3225, 3525, FP
018, 3400, 5963, 4090, 4460, FP
018, 3400, 5963, 4845, 5025, FP
018, 3400, 5963, 4965, 5590, FP
018, 3400, 5963, 5640, 6230, FP
018, 4805, 4900, _, _, FN
018, 4901, 5082, _, _, FN
018, 6401, 7735, 6745, 7000, FP
018, 6401, 7735, 7065, 7870, FP
018, 6401, 8651, 7775, 7975, FP
018, 6401, 8651, 7915, 8100, FP
018, 6401, 8651, 8055, 8650, FP
018, 6401, 11575, 9250, 9825, FP
018, 6401, 11575, 9690, 10160, FP
018, 6401, 11575, 10935, 11100, FP
018, 6401, 11575, 11160, 11695, FP
018, 6793, 6950, _, _, FN
018, 6819, 6942, _, _, FN
018, 6938, 7186, _, _, FN
018, 7875, 8290, _, _, FN
018, 8293, 8457, _, _, FN
018, 11176, 11532, _, _, FN
018, 12374, 12673, 12420, 12590, TP
018, 12374, 12673, 12455, 13095, FP
018, _, _, 13035, 13550, FP
018, 13972, 14603, 13980, 14340, TP
018, _, _, 15020, 15545, FP
018, _, _, 15415, 15940, FP
018, _, _, 16285, 16750, FP
018, _, _, 16765, 17315, FP
018, 17360, 17511, 17370, 17530, TP
018, 17423, 17492, _, _, FN
018, 17932, 19199, 17615, 18115, FP
018, 17932, 19199, 18750, 19210, FP
018, 17932, 23087, 19685, 20030, FP
018, 17932, 23087, 20860, 21025, FP
018, 17932, 23087, 22310, 22670, FP
018, 17932, 23087, 22535, 23210, FP
018, 18823, 19276, _, _, FN
018, 22266, 22637, _, _, FN
018, 22650, 23124, _, _, FN
018, 23623, 23665, _, _, FN
018, 23629, 23989, 23685, 23990, TP
019, 455, 674, 460, 595, TP
019, 455, 674, 485, 565, FP
019, 723, 861, _, _, FN
019, 3703, 3857, 3795, 4380, FP
019, 3987, 4157, _, _, FN
019, 4271, 4525, _, _, FN
019, 5486, 5875, _, _, FN
019, 6043, 6282, 6060, 6310, TP
019, 7373, 7472, 7185, 7455, FP
019, _, _, 8085, 8350, FP
019, 9788, 9889, _, _, FN
019, 10497, 10551, _, _, FN
019, 11450, 11616, _, _, FN
019, _, _, 11915, 12180, FP
019, 12189, 12330, _, _, FN
019, 12228, 12309, _, _, FN
019, 13095, 13233, 13115, 13270, TP
019, 13140, 13241, _, _, FN
019, 14398, 14533, 14220, 14445, FP
019, 14976, 15141, 14820, 14985, FP
020, 574, 683, _, _, FN
020, 2200, 2347, _, _, FN
020, 2228, 2283, _, _, FN
020, 2304, 2337, _, _, FN
020, 6674, 6820, _, _, FN
020, 6751, 6825, _, _, FN
020, 7614, 7709, _, _, FN
020, 8665, 8802, _, _, FN
020, 9630, 11510, 9645, 12685, TP
020, 9630, 11510, 9685, 9975, FP
020, 9630, 11510, 11045, 11375, FP
020, 11944, 12602, 11855, 12255, FP
020, 11944, 12602, 12280, 12625, FP
020, 13186, 13329, 13175, 13345, TP
020, 13682, 13838, _, _, FN
020, 14084, 14130, _, _, FN
020, _, _, 14295, 14565, FP
020, 15436, 15608, 15250, 15530, FP
020, 16042, 16099, _, _, FN
020, 17151, 17309, _, _, FN
020, 17603, 20592, 17880, 18195, FP
020, 17603, 20592, 18065, 19150, FP
020, 17603, 20592, 18485, 21435, TP
020, 17812, 18844, _, _, FN
020, 18913, 19865, _, _, FN
020, 20834, 21080, 20805, 21120, TP
020, 20834, 21080, 21035, 21335, FP
020, _, _, 21470, 21905, FP
020, _, _, 22265, 22595, FP
020, 22692, 22868, _, _, FN
020, 22751, 22842, _, _, FN
020, 25151, 25299, _, _, FN
020, 25457, 25914, _, _, FN
020, 27362, 27553, _, _, FN
020, 27816, 28123, _, _, FN
020, 30314, 30461, _, _, FN
020, 31034, 31179, _, _, FN
020, 31122, 31181, _, _, FN
020, 31675, 31769, 31735, 31885, FP
020, 31809, 32241, 31735, 31885, FP
021, 884, 1488, _, _, FN
021, 3051, 3338, _, _, FN
021, 13910, 13999, _, _, FN
021, 16646, 16703, _, _, FN
022, 402, 501, _, _, FN
022, 1247, 1418, 1165, 1480, TP
022, 2054, 2177, 1965, 2305, FP
022, 2759, 2985, 2820, 3175, FP
022, 5039, 5200, _, _, FN
022, 5613, 5661, 5370, 5810, FP
022, 5711, 6164, 5815, 6205, TP
022, 6674, 6795, 6345, 6700, FP
022, _, _, 7345, 7675, FP
022, 8892, 8930, 8860, 9215, FP
022, 9726, 9803, _, _, FN
022, 10570, 10640, 10515, 10800, FP
022, _, _, 11325, 11710, FP
022, 11732, 11876, 11695, 12030, FP
025, 1, 865, 190, 380, FP
025, 1, 865, 590, 850, FP
025, 544, 771, _, _, FN
025, 985, 1102, _, _, FN
025, 2395, 2578, _, _, FN
025, 3035, 3184, 3075, 3275, FP
025, _, _, 3400, 3445, FP
025, 4117, 4203, 4090, 4320, FP
025, 6329, 6409, 6300, 6490, FP
025, 6329, 6409, 6350, 6410, TP
025, 7841, 7980, 7860, 8040, TP
025, 7841, 7938, _, _, FN
025, 9823, 9897, 9840, 9975, FP
026, 117, 203, _, _, FN
026, 295, 370, 250, 430, FP
026, 1725, 1837, 1710, 1860, TP
026, 1725, 1837, 1720, 1815, FP
026, 2240, 2354, 2275, 2315, FP
026, 3050, 3151, 3015, 3140, TP
026, 3050, 3151, 3055, 3115, FP
026, 3608, 3686, 3610, 3665, TP
026, 3882, 3948, 3900, 4050, FP
026, 3953, 4029, _, _, FN
026, 5016, 5099, 4925, 5090, FP
026, 6488, 6625, _, _, FN
026, 7104, 7246, _, _, FN
